Twitter_Account,Avg_Tweets_Per_Day
AllsortsBot,8.16326530612245
AndyMcMahonBot,1.7084531339850488
AutoCharts,1.2843822843822843
AwlTags,3.7532013969732247
BloombrgNewsish,16.489795918367346
DearAssistant,2.697324414715719
EverySheriff,23.881481481481483
FavThingsBot,3.625
Harshavatrx,1.053968253968254
Horse_ebooks,8.020050125313283
I_Find_Planets,26.462809917355372
JustToSayBot,11.870848708487085
LOUDBOT,5.871559633027523
MarksFakeFacts,6.92654028436019
MuseumBot,3.215841584158416
NicCagePlotBot,6.360655737704918
NintendoArtBot,135.41666666666666
Procrastibot,3.0
RobotzRule,7.427884615384615
SandyAid,49.63157894736842
SecurityNewsbot,91.48571428571428
a_quilt_bot,13.601694915254237
accidental575,1.0952689565780946
aceattorneybot,46.608695652173914
art_critic_bot,1.420798595875384
beckettbot,0.5396825396825397
big_ben_clock,22.87323943661972
camptownladies,38.55421686746988
deepquestionbot,6.00187265917603
garry12gg,5.533913043478261
hackernewsbot,5.413735343383585
itsJesusCristo,1.5252621544327931
itsspeltcaesar,0.49946178686759957
jadntrumpebooks,23.888059701492537
lilCryptoBot,10.398576512455517
netflix_bot,6.690721649484536
nice_tips_bot,51.44444444444444
oliviataters,29.254545454545454
pentametron,6.171240395170143
portmanteau_bot,20.531645569620252
reverseocr,3.9234507897934385
theBookFinder2,6.09375
theMemesBot,28.734513274336283
thegodbot,24.242424242424242
tinycarebot,63.333333333333336
tweetbotv1,1.9460093896713615
winelover_bot,2.3326007326007328
