Tweet_id,User_name,Tweet_text,Language,Created_at,Search_Keyword
1853729719239233937,Elon Musk (Parody),"Would you buy a Tesla phone?

Cheaper and better than Apple and we don't sell your data!

Plus free Starlink 👀 https://t.co/mmCcoTfoq7",en,2024-11-05 09:23:00+00:00,Apple
1842565404469711210,Tim Cook,Steve showed us that the future isn’t something you wait for—it’s something you build. His memory lives on in the hearts of innovators and dreamers everywhere—at Apple and beyond. https://t.co/p5USzlifCb,en,2024-10-05 14:00:00+00:00,Apple
1856026733855834119,𝒸.,just a girl and her iOS18 apple stickers 🤎🦢🧺🧸 https://t.co/Q4wN3pH45t,en,2024-11-11 17:30:31+00:00,Apple
1811492508532375615,Punch Cat,apple                                        nothing https://t.co/0gSxqxpPZW,en,2024-07-11 20:07:24+00:00,Apple
1862229896296374762,Tim Cook,I'm so proud of the many teams across Apple developing powerful technologies that are improving people’s lives. The Hearing Aid feature on AirPods Pro 2 uses your personalized sound profile so you can hear the moments that matter. https://t.co/DsGytAUQAR,en,2024-11-28 20:19:40+00:00,Apple
1831533201820365028,Enséñame de Ciencia,"Las nuevas funciones de Apple están a otro nivel 😱✅

https://t.co/uXijikoGXM",es,2024-09-05 03:21:58+00:00,Apple
1853432214257578496,The Cinéprism,"So, Apple TV casually drops groundbreaking shows and forgets to even promote them. https://t.co/MwF4uaGtiI",en,2024-11-04 13:40:49+00:00,Apple
1862145986077839450,Benny Johnson,"I’m stunned. Apple just released the single greatest pro-parenting ad in the history of American advertising.

The pro-family cultural revolution is here. 

Watch. Try not to cry… https://t.co/30JvZkuMjJ",en,2024-11-28 14:46:14+00:00,Apple
1830823030953820279,Historic Vids,The consistency of corner radius across different Apple products https://t.co/j2dSUalRks,en,2024-09-03 04:20:00+00:00,Apple
1860390013906878488,amirtha,when i accidentally click on Apple Maps instead of Google Maps https://t.co/lyox5IxBHq,en,2024-11-23 18:28:38+00:00,Apple
