Tweet_id,User_name,Tweet_text,Language,Hashtags,Created_at,Search_Keyword
1853729719239233937,Elon Musk (Parody),"Would you buy a Tesla phone?

Cheaper and better than Apple and we don't sell your data!

Plus free Starlink 👀 https://t.co/mmCcoTfoq7",en,[],2024-11-05 09:23:00+00:00,Tesla
1862546527144603906,Ken Synopsis & Vancouver Real Estate,Optimus is going to be wild https://t.co/cDI6bDwekT,en,[],2024-11-29 17:17:51+00:00,Tesla
1862169330286280855,Elon Musk (Parody),"Should Tesla make a phone?

Better than Iphone and free starlink! https://t.co/maCnzuEKaP",en,[],2024-11-28 16:19:00+00:00,Tesla
1862166333234012621,Tesla,Happy Thanksgiving from our family to yours! https://t.co/MmVzkVTCzx,en,[],2024-11-28 16:07:05+00:00,Tesla
1861920164767490060,Elon Musk (Parody),"What do you think of this Tesla concept?

Would you drive it? https://t.co/b2rFfKxlrT",en,[],2024-11-27 23:48:54+00:00,Tesla
1862226046277337596,Elon Musk - Parody,"Hello Friends!

Would you accept this Tesla Model Phone as a Christmas gift? 🎄

A. Yes
B. No https://t.co/XZSExdd9de",en,[],2024-11-28 20:04:22+00:00,Tesla
1813265731699511755,BOSSLADY 🦋,My dads new car might have that tesla beat…. https://t.co/klR8CG2QF3,en,[],2024-07-16 17:33:33+00:00,Tesla
1857953541563813942,Elon Musk (Fan),"Would you take this Tesla car as a Christmas gift?

A. Yes
B. No https://t.co/nFsf4z18sO",en,[],2024-11-17 01:06:58+00:00,Tesla
1860595586228994202,TESLA CARS ONLY.⚡,THOUGHTS ON TESLA? https://t.co/5A5PQkKfTY,en,[],2024-11-24 08:05:30+00:00,Tesla
1844610918552121596,Chris Bakke,"Optimus just poured a drink and didn’t ask for a 25% tip on an iPad.

Just put $10M more into Tesla stock

 https://t.co/KgapFUDFti",en,[],2024-10-11 05:28:08+00:00,Tesla
1862164554957857254,ALEX,"The @Tesla Cybercab design keeps growing on me.

I think we could be looking at the vehicle of the century. https://t.co/MGBCXpTUGR",en,[],2024-11-28 16:00:01+00:00,Tesla
1780703587947180175,Lex Fridman,"Congrats to Boston Dynamics on their new electric version of Atlas robot. Thanks to all the amazing engineering teams at Boston Dynamics, Tesla, and others pushing the field of robotics forward! I can't wait to hang out with Atlas &amp; Optimus together at some point. Robot party 🤣 https://t.co/Ti4lYtNErT",en,[],2024-04-17 21:03:13+00:00,Tesla
1861813430421684598,TESLA CARS ONLY.⚡,TESLA MATTE ORANGE!!! https://t.co/8yC7O5Es0P,fr,[],2024-11-27 16:44:47+00:00,Tesla
1858158941584208255,i like teslas,The democrats won the election https://t.co/6mqT65CPTw,en,[],2024-11-17 14:43:09+00:00,Tesla
1846525707427393709,Weed Porn,My Tesla Robot 24 hours a day https://t.co/HBQTxkgMbN,en,[],2024-10-16 12:16:50+00:00,Tesla
1845452580958216247,Tesla Hype,"What did you get done this week?

Elon Musk: hold my beer https://t.co/gMsY37aTuG",en,[],2024-10-13 13:12:36+00:00,Tesla
1819105372444995710,Tesla Manufacturing,"Every 5 seconds, we welcome a new drive unit into the world 🐣 https://t.co/1JOq2QWKLf",en,[],2024-08-01 20:18:12+00:00,Tesla
1861018239108575420,Eva McMillan ♥️,Tesla's new Model Y Juniper 🔥 https://t.co/HJzQqjYZuK,es,[],2024-11-25 12:04:58+00:00,Tesla
1776303092763439300,Historic Vids,"A massive crane fell on this guy’s Tesla while he was inside and miraculously, he was 100% fine https://t.co/lRAqDjAAZS",en,[],2024-04-05 17:37:14+00:00,Tesla
1856378923505811894,Tesla Energy,Congrats to the Tesla Nevada team on building 1000 Powerwalls in a single day https://t.co/SPnjbdd1rm,en,[],2024-11-12 16:49:59+00:00,Tesla
1862341711663702125,Tesla Owners Silicon Valley,"Elon Musk has been treated like crap by @potus and legacy media all these years. 

I love seeing people giving him the appreciation he’s deserved. How far have we come. https://t.co/tu145ZdvTW",en,[],2024-11-29 03:43:59+00:00,Tesla
1861721428963266675,Eva McMillan ♥️,"Cybertruck is Tesla's coronet achievement.

 https://t.co/WL143dpdtC",en,[],2024-11-27 10:39:12+00:00,Tesla
1862169687909638631,Tesla Owners NorCal-Reno,Feeling thankful for @tesla safety! Thanksgiving I get to spend with my family after this accident is a blessing 🙏 Don’t drink and drive. Drunk driver hit me head on at 55 😡 https://t.co/XxbhHId16I,en,[],2024-11-28 16:20:25+00:00,Tesla
1862190666110972233,m ✨,me if i ever get my hands on one of those tesla robots https://t.co/GgAWhtPUap,en,[],2024-11-28 17:43:47+00:00,Tesla
1862357408968057210,Tesla Owners Silicon Valley,Elon Musk saving and making 🇺🇸 great again. https://t.co/B7dxl2VRhX,en,[],2024-11-29 04:46:21+00:00,Tesla
1861727572335161372,TESLA CARS ONLY.⚡,DO YOU LIKE THIS TESLA? https://t.co/iAoywKK86q,en,[],2024-11-27 11:03:37+00:00,Tesla
1862573332744343776,Nic Cruz Patane,"Just passed by this burning minivan, crazy!

One of the biggest misconceptions about Tesla’s is vehicle fires.

Tesla vehicles are nearly 8 times less likely to experience a vehicle fire compared to the U.S. average. 

The media won’t talk about how much safer Tesla vehicles are. https://t.co/XBmqwRIEGC",en,[],2024-11-29 19:04:22+00:00,Tesla
1844610934670590184,DogeDesigner,"A conversation between Tesla Optimus bot and a human is the best thing you’ll see on the internet today.

 https://t.co/2M9UJPTTLX",en,[],2024-10-11 05:28:12+00:00,Tesla
1854737733119275452,Arjun Khemani,".@naval: There was a story that I read about @elonmusk that really affected me, which was when he was talking to Bill Gates, and Bill Gates had just taken out some huge short on Tesla. It was like a billion dollar short or something.

And, Elon was like, “Why would you do that? Why would you short Tesla?” And Bill goes, “Well, you know, I talked to my financial advisors and I looked at the math and there’s no way it’s overvalued. And so I’m going to make money on the short.”

And Elon goes, “What do you care about making money? I thought you were into electric cars and climate change and saving the world. What are you doing trying to save a few bucks and betting against Tesla?”. And he just walked away in disgust.

And I think he never talked to Bill Gates after that. And that’s when I realized, like, Elon’s a purist. He means what he says. The money is a tool for him to get what he’s trying to do. And so I take him at face value, which is the crazy thing, because a lot of people who set these audacious goals to inspire people, you kind of know they don’t really mean it.

Elon, I take at face value. So I really do think he intends to get to Mars. I don’t think he’s joking about that. And I think he means to get there within a defined window of time. And I don’t think it’s just like an inspirational, faraway goal. I think he’s very, very concretely going to do whatever it takes.

Because Elon doesn’t want to go down in history as the electric car guy or even the guy who saved America guy. He wants to go down as a guy who got humanity to the stars. Again, I’ll give him more credit than that. I don’t even think he wants to go down as the “I got humanity to the stars” guy.

He’s just like, “I want to get to the stars, and so I have to make it happen in this lifetime. The only way that I get to experience the science fiction world in my head is if I get to the stars.” And so that’s so inspirational. I think that drives everything.

So I think the government was just a thing that got in his way.",en,[],2024-11-08 04:08:29+00:00,Tesla
1861978695994380459,Eva McMillan ♥️,"I LOVE GROK.
Just asked grok to draw an image of a beautiful brunette…👀 https://t.co/HbSXtw71ni",en,[],2024-11-28 03:41:29+00:00,Tesla
1860305543832699324,Dima Zeniuk,"Tesla Cybercab in Paris 📐

🎥 @t3sla_remy https://t.co/c5pzPOouhz",in,[],2024-11-23 12:52:59+00:00,Tesla
1856075403460235613,Maye Musk,Spotted everywhere in Shanghai @Tesla 😎😎😍😍 https://t.co/IDrzGMsL3Q,en,[],2024-11-11 20:43:55+00:00,Tesla
1861794267057832211,Joe Tegtmeyer 🚀 🤠🛸😎,"Cybercab testing at Giga Texas this morning … there is a chase black Model 3 following it along as it drives around the north &amp; east sides of the factory today, continuing its drive testing! https://t.co/QJRWWGjWLE",en,[],2024-11-27 15:28:38+00:00,Tesla
1861109484334260623,Teslaconomics,"@neuralink Just imagine being able to control this with Neuralink… it’s happening. 

https://t.co/jMf8vfsiKx",en,[],2024-11-25 18:07:33+00:00,Tesla
1854938998642556960,Dhaval Shroff,Found this on our car 😂 I don’t think they know that I am not just a customer buying Tesla and supporting Elon but I have also worked for him for over 10 years and will continue doing so https://t.co/OL7HKuueY5,en,[],2024-11-08 17:28:15+00:00,Tesla
1854125577571098786,Elon Musk (Parody),"You get a free Tesla...

Which color are you choosing? https://t.co/45ldIm9aiE",en,[],2024-11-06 11:36:00+00:00,Tesla
1861305294749319417,TESLA CARS ONLY.⚡,DO YOU LIKE TESLA GOLD? https://t.co/i4uuaX3DvN,en,[],2024-11-26 07:05:38+00:00,Tesla
1862461340943626604,Eva McMillan ♥️,Donal Trump with his grandchildren at Thanksgiving. 🥰 https://t.co/x5FixUk0mH,en,[],2024-11-29 11:39:21+00:00,Tesla
1861011302992253387,TESLA CARS ONLY.⚡,TESLA IN SUMMER. https://t.co/uN7CxBpSUJ,nl,[],2024-11-25 11:37:25+00:00,Tesla
1846247706949492884,Elon Musk - Parody,"Would you take this Tesla car as a Christmas gift?

A. Yes
B. No https://t.co/InD2DTqLVp",en,[],2024-10-15 17:52:09+00:00,Tesla
1820213023182815363,Dima Zeniuk,Tesla Roadster will go from 0 to 60 mph in 1.1 seconds with the SpaceX rocket thrusters. Mind blowing https://t.co/clkWCNof9V,en,[],2024-08-04 21:39:37+00:00,Tesla
1862362245596160476,Ken Synopsis & Vancouver Real Estate,Probably thinking about Lego X game https://t.co/4FXnOItEm2,en,[],2024-11-29 05:05:35+00:00,Tesla
1862145882273013999,Joe Tegtmeyer 🚀 🤠🛸😎,"The @Tesla  Cybercab seems to be showing up all over the globe, but if you want to be sure to see it, the Petersen Automotive Museum in Los Angeles will have it on display thru January 2025! https://t.co/1k8BSC3AlX",en,[],2024-11-28 14:45:49+00:00,Tesla
