Tweet_id,User_name,Tweet_text,Language,Created_at,Search_Keyword
1862229896296374762,Tim Cook,I'm so proud of the many teams across Apple developing powerful technologies that are improving people’s lives. The Hearing Aid feature on AirPods Pro 2 uses your personalized sound profile so you can hear the moments that matter. https://t.co/DsGytAUQAR,en,2024-11-28 20:19:40+00:00,Apple
1862145986077839450,Benny Johnson,"I’m stunned. Apple just released the single greatest pro-parenting ad in the history of American advertising.

The pro-family cultural revolution is here. 

Watch. Try not to cry… https://t.co/30JvZkuMjJ",en,2024-11-28 14:46:14+00:00,Apple
1860390013906878488,amirtha,when i accidentally click on Apple Maps instead of Google Maps https://t.co/lyox5IxBHq,en,2024-11-23 18:28:38+00:00,Apple
1862455990517661868,Poonam Soni,"Apple just announced iOS 18.2 will be released next month.

This will be Apple’s MASSIVE upgrade with Apple Intelligence

13 features you don't want to miss  (Don't miss the 5th one) https://t.co/Uo7CEy4exA",en,2024-11-29 11:18:05+00:00,Apple
1861323340482335014,Black Albino.,"Elon Musk on Apple: ""I'm coming for you. I will make a Tesla phone. Cheaper than the iphone and with free Starlink. Your days are numbered""

It high time y'all should put an end to buying luxury apple products. 

Think of a Tesla phone that's cheaper than all these luxury apples & samsung product and also offers global internet connectivity through satellites, charges itself with sunlight, and seamlessly controls your car, home, and more.

Sounds too good to be true, right? Well, leave it to Elon and Tesla to make it a reality with the Tesla Pl Phone.

Launching date is fast approaching.",en,2024-11-26 08:17:20+00:00,Apple
1862166668006261158,Brant Hansen,"This is it.

The poetry of family and music... and the profound payoffs of faithful fatherhood. 

What a GREAT ad from Apple. https://t.co/doXnpb657N",en,2024-11-28 16:08:25+00:00,Apple
1862526113043403075,*,cranberry apple pie before and after baking ^o^ https://t.co/DRnjY6haie,en,2024-11-29 15:56:44+00:00,Apple
1862173928828870672,Anna Lulis,"Apple just released the most beautiful pro-family ad.

This is what it’s all about.

Get married.
Have kids.

Care about the things that matter. https://t.co/f8bX4Rgutb",en,2024-11-28 16:37:16+00:00,Apple
1862279706520826332,Sr.Liberal,"Apple abandona el wokismo y se decanta por la institución familiar para su anuncio de navidad. 👏
https://t.co/rcPcJeQwSM",es,2024-11-28 23:37:36+00:00,Apple
1862579784464675199,I Hate Apple,"Apple A18 Pro Vs MediaTek Dimensity 9400 in a GPU Web Acceleration Test.
Yer.......the iPhone isn't doing well 🤣🤣 https://t.co/ZlwmTnt1Kq",en,2024-11-29 19:30:00+00:00,Apple
1862132392711868553,Aaron,"Apple just released their annual holiday ad and wow... 

I'm not crying, I'm just sweating through my eyes https://t.co/eRhYRAAhpL",en,2024-11-28 13:52:13+00:00,Apple
1862231293238382964,William Wolfe 🇺🇸,"Trump’s win shifted the vibe so hard that Apple is putting normal white families back in commercials again 
 https://t.co/mEaaXlP6js",en,2024-11-28 20:25:13+00:00,Apple
1862233350943252509,Greg Joswiak,"Thanks to innovations at Apple, we are improving health and making the world accessible for all. Apple’s new Hearing Aid feature on AirPods Pro 2 means you can stay connected to the people and environments around you. https://t.co/ss9Adh6k6T",en,2024-11-28 20:33:24+00:00,Apple
1862070076654092324,official_barbiecue🦅🤍,"Wizkid MORAYO album suppressed 74M streams on Spotify in 5days of release.

Wizkid B@d ft Asake surpassed 4.2M streams on Spotify 

Wizkid MORAYO is still taking 16 space on Apple Music NG.

Wizkid monthly listeners is now 11.6 million.

MORAYO will be wizkid most streamed album.🙏🦅❤️",en,2024-11-28 09:44:36+00:00,Apple
